,id,contestId,creationTimeSeconds,relativeTimeSeconds,problem,author,programmingLanguage,verdict,testset,passedTestCount,timeConsumedMillis,memoryConsumedBytes,points
0,118324621,1526,1622779318,1018,"{'contestId': 1526, 'problemsetName': None, 'index': 'A', 'name': 'Mean Inequality', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 800, 'tags': ['constructive algorithms', 'sortings']}","{'contestId': 1526, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'VIRTUAL', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1622778300}",Python 3,OK,TESTS,4,186,2457600,
1,118378180,1535,1622817709,409,"{'contestId': 1535, 'problemsetName': None, 'index': 'A', 'name': 'Fair Playoff', 'type': 'PROGRAMMING', 'points': None, 'rating': 800, 'tags': ['brute force', 'implementation']}","{'contestId': 1535, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1622817300}",Python 3,OK,TESTS,3,186,2457600,
2,118408566,1535,1622819847,2547,"{'contestId': 1535, 'problemsetName': None, 'index': 'B', 'name': 'Array Reodering', 'type': 'PROGRAMMING', 'points': None, 'rating': 900, 'tags': ['brute force', 'greedy', 'math', 'number theory', 'sortings']}","{'contestId': 1535, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1622817300}",PyPy 3,MEMORY_LIMIT_EXCEEDED,TESTS,0,233,268390400,
3,120072526,1539,1624185079,1579,"{'contestId': 1539, 'problemsetName': None, 'index': 'A', 'name': 'Contest Start', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 1000, 'tags': ['combinatorics', 'geometry', 'greedy', 'math']}","{'contestId': 1539, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': 144, 'startTimeSeconds': 1624183500}",PyPy 3,MEMORY_LIMIT_EXCEEDED,PRETESTS,0,155,268390400,
4,120073621,1539,1624185173,1673,"{'contestId': 1539, 'problemsetName': None, 'index': 'A', 'name': 'Contest Start', 'type': 'PROGRAMMING', 'points': 500.0, 'rating': 1000, 'tags': ['combinatorics', 'geometry', 'greedy', 'math']}","{'contestId': 1539, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': 144, 'startTimeSeconds': 1624183500}",Python 3,OK,TESTS,10,93,2457600,
5,120089106,1539,1624186583,3083,"{'contestId': 1539, 'problemsetName': None, 'index': 'B', 'name': 'Love Song', 'type': 'PROGRAMMING', 'points': 750.0, 'rating': 800, 'tags': ['dp', 'implementation', 'strings']}","{'contestId': 1539, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': 144, 'startTimeSeconds': 1624183500}",Python 3,TIME_LIMIT_EXCEEDED,PRETESTS,3,2000,45875200,
6,120096343,1539,1624187315,3815,"{'contestId': 1539, 'problemsetName': None, 'index': 'B', 'name': 'Love Song', 'type': 'PROGRAMMING', 'points': 750.0, 'rating': 800, 'tags': ['dp', 'implementation', 'strings']}","{'contestId': 1539, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': 144, 'startTimeSeconds': 1624183500}",GNU C++17,OK,TESTS,24,124,11673600,
7,120113328,1539,1624189464,5964,"{'contestId': 1539, 'problemsetName': None, 'index': 'C', 'name': 'Stable Groups', 'type': 'PROGRAMMING', 'points': 1250.0, 'rating': 1200, 'tags': ['greedy', 'sortings']}","{'contestId': 1539, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': 144, 'startTimeSeconds': 1624183500}",GNU C++17,OK,TESTS,60,140,4812800,
8,134080127,1607,1635865165,1465,"{'contestId': 1607, 'problemsetName': None, 'index': 'A', 'name': 'Linear Keyboard', 'type': 'PROGRAMMING', 'points': None, 'rating': 800, 'tags': ['implementation', 'strings']}","{'contestId': 1607, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1635863700}",GNU C++17,OK,TESTS,4,0,1228800,
9,134091550,1607,1635866315,2615,"{'contestId': 1607, 'problemsetName': None, 'index': 'B', 'name': 'Odd Grasshopper', 'type': 'PROGRAMMING', 'points': None, 'rating': 900, 'tags': ['math']}","{'contestId': 1607, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1635863700}",GNU C++17,OK,TESTS,3,15,1024000,
10,134098369,1607,1635867018,3318,"{'contestId': 1607, 'problemsetName': None, 'index': 'C', 'name': 'Minimum Extraction', 'type': 'PROGRAMMING', 'points': None, 'rating': 1000, 'tags': ['brute force', 'sortings']}","{'contestId': 1607, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1635863700}",GNU C++17,OK,TESTS,14,78,1945600,
11,134107232,1607,1635867996,4296,"{'contestId': 1607, 'problemsetName': None, 'index': 'D', 'name': 'Blue-Red Permutation', 'type': 'PROGRAMMING', 'points': None, 'rating': 1300, 'tags': ['greedy', 'math', 'sortings']}","{'contestId': 1607, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1635863700}",GNU C++17,OK,TESTS,13,77,4403200,
12,134116011,1607,1635869049,5349,"{'contestId': 1607, 'problemsetName': None, 'index': 'E', 'name': 'Robot on the Board 1', 'type': 'PROGRAMMING', 'points': None, 'rating': 1600, 'tags': ['implementation']}","{'contestId': 1607, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'CONTESTANT', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1635863700}",GNU C++17,OK,TESTS,10,30,2662400,
13,134177139,1593,1635917789,2147483647,"{'contestId': 1593, 'problemsetName': None, 'index': 'A', 'name': 'Elections', 'type': 'PROGRAMMING', 'points': None, 'rating': 800, 'tags': ['math']}","{'contestId': 1593, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'PRACTICE', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1634135700}",GNU C++17,OK,TESTS,3,30,1024000,
14,134178642,1593,1635918954,2147483647,"{'contestId': 1593, 'problemsetName': None, 'index': 'B', 'name': 'Make it Divisible by 25', 'type': 'PROGRAMMING', 'points': None, 'rating': 900, 'tags': ['dfs and similar', 'dp', 'greedy', 'math', 'math']}","{'contestId': 1593, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'PRACTICE', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1634135700}",GNU C++17,OK,TESTS,3,15,1024000,
15,134179758,1593,1635919829,2147483647,"{'contestId': 1593, 'problemsetName': None, 'index': 'B', 'name': 'Make it Divisible by 25', 'type': 'PROGRAMMING', 'points': None, 'rating': 900, 'tags': ['dfs and similar', 'dp', 'greedy', 'math', 'math']}","{'contestId': 1593, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'PRACTICE', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1634135700}",GNU C++17,OK,TESTS,3,15,1024000,
16,134181791,1593,1635921399,2147483647,"{'contestId': 1593, 'problemsetName': None, 'index': 'C', 'name': 'Save More Mice', 'type': 'PROGRAMMING', 'points': None, 'rating': 1000, 'tags': ['binary search', 'greedy', 'greedy']}","{'contestId': 1593, 'members': [{'handle': 'bayashi_cl', 'name': None}], 'participantType': 'PRACTICE', 'teamId': None, 'teamName': None, 'ghost': False, 'room': None, 'startTimeSeconds': 1634135700}",GNU C++17,OK,TESTS,56,156,2662400,
